"event_id","category","title","time","price","repeat_description","address","image","description","title_code","dates"
"1","GRHS Program","Beer Brewing in Grand Rapids","7:00 pm","Free","","The Gerald R. Ford Presidential Museum 303 Pearl St. NW Grand Rapids, MI 49504","","<p>For our November program, Grand Rapids Historical Society Board Member William W. Seeger will lecture on the vast history of breweries in Grand Rapids.</p>
","beerbrewingingrandrapids","2013-11-14"
"2","GRHS Program","The Legacy of the Civilian Conservation Corps in Michigan","7:00 pm","Free","","The Gerald R. Ford Presidential Museum 303 Pearl St. NW Grand Rapids, MI 49504","","<p>The &quot;New Deal&quot; of President Roosevelt was established in 1933 to help aid relief and recovery from the Great Depression. &nbsp;Of all the &quot;Alphabet Agencies&quot; created under FDR, the Civilian Conservation Corps (CCC) was his favorite. &nbsp;In a nine-year span in Michigan, more than 102,000 young men lived in one of 125 camps, and planted millions of acres of forests or helped build national and state parks, as well as working on dams and many other projects.</p>

<p>Rob Burg has been an historian for the Michigan Historical Museum for o-ver 15 years. &nbsp;He has managed the Hartwick Pines Logging Museum at Hartwick Pines State Park in Grayling and the Michigan CCC Museum at North Higgins Lake in Rosecommon, in addition to other historical sites in Michigan. &nbsp;</p>
","thelegacyofthecivilianconservationcorpsinmichigan","2014-1-9"
"4","GRHS Program","Pine Rest: 100 Years of Changing Lives","7:00 pm","Free","","Gerald R. Ford Presidential Museum 303 Pearl St. N.W. Grand Rapids MI, 49503","6_Cutler_Home_1891.jpg.jpeg","<p>Over 100 years ago a small group of women and men of vision saw a need for a compassionate place of healing for people suffering from mental illness, a ministry where those whose minds kept them in chains could come and be treated with dignity and respect, and they could find release and healing.</p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; We began quietly in the pastures of Cutlerville, and the story now reaches and extends throughout several states. From a garden to the city. From a small group of immigrant people to lives touched in the entire community in all its diversity.</p>

<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; In one way, the Pine Rest of today is far removed from the Christian Psychopathic hospital of 1910, but the strong roots established a century ago have provided the foundation necessary for modern mental health care. We&rsquo;re pleased to share that story with you.</p>
","pinerest100yearsofchanginglives","2014-2-13"
"5","GRHS Program","Women at the Bar: The First Century of Women Attorneys in Grand Rapids 1870s-1970s","7:00 pm","Free and Open to the Public. Free Parking","","Gerald R. Ford Presidential Museum 303 Pearl St. N.W. Grand Rapids MI, 49503","justice.jpg","<p>In the 1960s and 1970s, a new wave of women attorneys began joining the bar in Grand Rapids, paving the way for many who followed. Yet they were not the first female attorneys to practice law in Grand Rapids. In the late 1870s, Elizabeth Eaglesfield, one of the early female graduates of the University of Michigan Law School, hung out her shingle and began advertising for clients. She was followed by Ella Mae Backus, an attorney who became the backbone of the U.S. Attorney&#39;s Office for the Western District of Michigan, and others such as Gale Saunders, who are largely unknown today. Attorney and Grand Valley professor Ruth Stevens will&nbsp;trace the history of the first century of women attorneys in Grand Rapids, bringing to life the stories of these early women attorneys and linking them to the next wave of pioneers who helped shape the Grand Rapids legal community as it is today.</p>

<p><strong><a href=""http://www.facebook.com/events/1400085433552269/"" target=""_blank"">Join Our Facebook Event</a>&nbsp;<a href=""https://www.facebook.com/GrandRapidsHistoricalSociety"" target=""_blank"">and &ldquo;LIKE&rdquo; Us</a></strong></p>
","womenatthebarthefirstcenturyofwomenattorneysingrandrapidsdropdb grhs_site && make db initial_data migrate1870s1970s","2014-03-13"
"6","GRHS Program","""The Most Christian Nation in the World"" - Religion in Society on the Civil War Homefront by Father Bob Miller","7:00 pm","Free and Open to the Public. Free Parking","","St Mark's Episcopal Church, 134 Division Ave N, Grand Rapids, MI 49503","0000592.jpg","<p>In 1860, the single most socially influential factor in America was religion and faith. The United States literally was the most Christian nation in the world&rsquo;s history. The great majority of Americans &ndash; both North and South - approached the issues surrounding the Civil War thru the lens of their faith, religion and specific cultures. Faith defined many aspects of American culture:<br />
&nbsp;&nbsp; &nbsp;&bull;&nbsp;&nbsp; &nbsp;Immigrants &ldquo;link&rdquo; to &ldquo;home&rdquo;<br />
&nbsp;&nbsp; &nbsp;&bull;&nbsp;&nbsp; &nbsp;Education and schooling&nbsp;<br />
&nbsp;&nbsp; &nbsp;&bull;&nbsp;&nbsp; &nbsp;Basic source of societal information<br />
&nbsp;&nbsp; &nbsp;&bull;&nbsp;&nbsp; &nbsp;The pervasive values for all of America</p>

<p>Religion had already been crucial to America&rsquo;s founding, and helped the country slowly move apart since the Revolution. Now on the eve of Civil War, differing sectional approaches to Faith and the Bible further split the county socially, politically, theologically and (ultimately) irretrievably. The impact of religion would continue well after the War as well &ndash; as African Americans moved into an uncertain future, and as a new &ldquo;civil&rdquo; religion began to replace traditional pre-war fervor.</p>

<p>Join Father Robert Miller as we look at American culture on the eve of war thru the prism of the Faith of two different families, and their differing cultures, economies, backgrounds, belief systems. These families &ndash; one from Michigan (German evangelical Presbyterian), and one from Mississippi (Southern Baptist) - capture well the painfully transforming issue which the Civil War became in American history.</p>

<p><a href=""https://www.facebook.com/events/725924067423189/"" target=""_blank""><strong style=""line-height: 1.6em;"">Join Our Facebook Event&nbsp;and &ldquo;LIKE&rdquo; Us</strong></a></p>
","themostchristiannationintheworldreligioninsocietyonthecivilwarhomefrontbyfatherbobmiller","2014-4-10"
"7","GRHS Program","The Extinction of the Passenger Pigeon by Cindy Laug","8:00 pm","Free and Open to the Public. Free Parking","","Women's City Club, 254 Fulton St E, Grand Rapids, MI 49503","1017706_854831417876123_946355523_n.jpg","<p><strong>Members Banquet:</strong><br />
6:00 PM &mdash; Socializing<br />
<span style=""line-height: 1.6em;"">6:45 PM &mdash; Sitting Down for Dinner</span><br />
<br />
<strong><span style=""line-height: 1.6em;"">Program:</span></strong><br />
<span style=""line-height: 1.6em;"">7:45 PM &mdash; Sitting Down for Program</span><br />
<span style=""line-height: 1.6em;"">8:00 PM &mdash; Program Starts</span></p>

<p>&nbsp;</p>

<p><strong>The Passenger Pigeon</strong> (<em>Ectopistes migratorius</em>) is estimated to have soared through the skies at 60 miles per hour in flocks of millions as early as 1600.</p>

<p><span style=""line-height: 1.6em;"">Pigeons were estimated to number between 3 and 5 billion, and estimated 40% of the total bird population in North America, during the 19th century. Yet human exploitation plunged this species into extinction over the course of just a few decades. Not to be confused with a Carrier Pigeon or the well-known Messenger Pigeon, we are talking about the gregarious Passenger Pigeon which lived and nested in enormous migratory flocks and became extinct in 1914.</span></p>

<p>Did Grand Rapids play a role in its demise? Come and find out more from Cindy Laug about this amazing species as she explores how and why it went from billions to none in such a short span of time.</p>

<p><a href=""https://www.facebook.com/events/237305613125905/"" target=""_blank""><strong>Join Our Facebook Event&nbsp;and &ldquo;LIKE&rdquo; Us</strong></a></p>
","theextinctionofthepassengerpigeonbycindylaug","2014-5-8"
"9","Library Event","History Detectives Day","9:00 - 5:00","Free","","The Grand Rapids Public Library, 111 Library St. N.W. Grand Rapids, MI 49503","","<p>This event lasts all day at the Grand Rapids Public Library. &nbsp;Six presentations will be given on various local history topics throughout the day. &nbsp;Find more information here&nbsp;<a href=""http://www.grpl.org/event/history-detectives-2/"">http://www.grpl.org/event/history-detectives-2/</a></p>

<p><img alt="""" src=""uploads/images/2014_HistoryDetectives-1.jpg"" style=""width: 792px; height: 612px;"" /></p>

<p><img alt="""" src=""uploads/images/2014_HistoryDetectives-2.jpg"" style=""width: 792px; height: 612px;"" /></p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","historydetectivesday","2014-1-18"
"10","GRHS Program","Fulton St Cemetery Walking Tour","","FREE and Open to the Public. FREE Parking","","791 Fulton St E, Grand Rapids, MI 49503","4748712647_172703a210_o.jpg","<p><span style=""line-height: 1.6;"">Presented by Thomas R. Dilley, life-long resident of Grand Rapids and researcher of the history and preservation of local cemeteries, will lead a walk through the Fulton Street Cemetery, the oldest public burying ground in Grand Rapids. Discover more about who is at rest there. Get a closer look at the burial customs and beliefs of the past, and explore the role that graveyards played in the life of early Grand Rapids.</span></p>

<p><span style=""line-height: 1.6;""><strong>Sat 6 Sep: </strong>10:00 AM &ndash; 12:00 PM and 1:00 PM &ndash; 3:00 PM</span><br />
<span style=""line-height: 1.6;""><strong>Sun 7 Sep:</strong>&nbsp;</span><span style=""line-height: 1.6;"">&nbsp;1:00 PM &ndash; 3:00 PM and 3:00 PM - 5:00 PM</span></p>

<p><strong>FREE and OPEN to the Public (donations are welcomed)</strong><br />
<strong style=""line-height: 1.6;"">FREE Offsite Parking</strong><span style=""line-height: 1.6;""> See <a href=""https://mapsengine.google.com/map/edit?mid=zrFaDei1tZhw.koCEGSvKfS9w"" target=""_blank""><strong>Map of Houseman Field Parking Lot</strong> </a>located Houseman Ave NE and Fountain St NE</span></p>

<p><span style=""line-height: 1.6;"">Walk into driveway on west side of cemetery off Eastern Ave, just north of Fulton St NE</span></p>

<p>Thomas R. Dilley will have his newly released book (Sep 1, 2014): &ldquo;<a href=""http://www.amazon.com/The-Art-Memory-Historic-Cemeteries/dp/0814340199/ref=sr_1_1?ie=UTF8&amp;qid=1407527942&amp;sr=8-1&amp;keywords=art+of+memory+grand+rapids+cemeteries"" target=""_blank"">The Art of Memory, Historic Cemeteries of Grand Rapids, Michigan</a>&rdquo; by <a href=""http://wsupress.wayne.edu/books/detail/art-memory"" target=""_blank"">Wayne State University Press</a></p>

<p>&nbsp;</p>

<p>Photos &copy;2010 <a href=""https://www.flickr.com/photos/grpl/4748712647/in/photostream/"">Grand Rapids Public Library Flickr Stream</a></p>","fultonstcemeterywalkingtour","2014-9-6"
"11","GRHS Program","C. O. and Mabel Taylor - Power Couple of the Progressive Era","7:00 PM","FREE and Open to the Public. FREE Parking","","Gerald R. Ford Presidential Museum, 303 Pearl St NW Grand Rapids, MI 49504-5343","10499493_947741125251818_7503911526944668608_o.jpg","<p><strong>CHANGE OF DAY AND DATE TO: WED 29 OCT</strong></p>

<p><span style=""line-height: 1.6;"">The remarkable story of an extraordinary couple who helped birth the emerging middle class in Grand Rapids in the late 19th and early 20th Century.&nbsp;</span><span style=""line-height: 1.6;"">Claude was the President and also Secretary for a number of years of Michigan Federation of Musician&rsquo;s Union still in business today&nbsp;and still on Monroe Ave. in Grand Rapids.</span></p>

<p><a href=""http://claudeotaylorsr.webs.com/"" target=""_blank""><span style=""line-height: 1.6;"">http://claudeotaylorsr.webs.com/</span></a></p>

<p>Presented by his grandson <strong>Doug Taylor</strong>, historian at large and <strong>Michael Johnston</strong>, Grand Rapids labor historian.<br />
<br />
<strong>FREE and OPEN to Public. FREE On-site Parking</strong></p>

<p>Refreshments served afterward</p>","coandmabeltaylorpowercoupleoftheprogressiveera","2014-10-29"
"12","GRHS Program","History of the Grand Rapids Police Department","7:00 PM","FREE and Open to the Public. FREE Parking","","Gerald R. Ford Presidential Museum, 303 Pearl St NW Grand Rapids, MI 49504-5343","10518596_947746381917959_5037280586599018501_o.jpg","<p>Grand Rapids Police Department History 1850&ndash;1950<br />
Presented by <strong>Lt. Patrick Merrill</strong></p>","historyofthegrandrapidspolicedepartment","2014-11-13"
